borough,year_and_month,month,year,season,pandemic_period,recovery_success
lambeth,2010-02-01,february,2010,winter,pre-pandemic,0
haringey,2010-02-01,february,2010,winter,pre-pandemic,1
greenwich,2010-02-01,february,2010,winter,pre-pandemic,0
brent,2010-03-01,march,2010,spring,pre-pandemic,0
camden,2010-03-01,march,2010,spring,pre-pandemic,0
haringey,2010-03-01,march,2010,spring,pre-pandemic,0
enfield,2010-03-01,march,2010,spring,pre-pandemic,0
hillingdon,2010-03-01,march,2010,spring,pre-pandemic,1
croydon,2010-03-01,march,2010,spring,pre-pandemic,0
westminster,2010-03-01,march,2010,spring,pre-pandemic,1
croydon,2010-03-01,march,2010,spring,pre-pandemic,0
barnet,2010-03-01,march,2010,spring,pre-pandemic,0
barnet,2010-03-01,march,2010,spring,pre-pandemic,0
kingston upon thames,2010-03-01,march,2010,spring,pre-pandemic,0
merton,2010-03-01,march,2010,spring,pre-pandemic,0
merton,2010-03-01,march,2010,spring,pre-pandemic,0
camden,2010-03-01,march,2010,spring,pre-pandemic,0
waltham forest,2010-03-01,march,2010,spring,pre-pandemic,0
barking and dagenham,2010-03-01,march,2010,spring,pre-pandemic,1
barnet,2010-03-01,march,2010,spring,pre-pandemic,1
southwark,2010-03-01,march,2010,spring,pre-pandemic,0
redbridge,2010-03-01,march,2010,spring,pre-pandemic,0
hillingdon,2010-03-01,march,2010,spring,pre-pandemic,0
sutton,2010-03-01,march,2010,spring,pre-pandemic,0
enfield,2010-03-01,march,2010,spring,pre-pandemic,0
hounslow,2010-03-01,march,2010,spring,pre-pandemic,0
bexley,2010-03-01,march,2010,spring,pre-pandemic,0
greenwich,2010-03-01,march,2010,spring,pre-pandemic,0
hillingdon,2010-03-01,march,2010,spring,pre-pandemic,0
hackney,2010-03-01,march,2010,spring,pre-pandemic,0
westminster,2010-03-01,march,2010,spring,pre-pandemic,1
bromley,2010-03-01,march,2010,spring,pre-pandemic,0
islington,2010-03-01,march,2010,spring,pre-pandemic,0
barnet,2010-03-01,march,2010,spring,pre-pandemic,0
barnet,2010-03-01,march,2010,spring,pre-pandemic,0
wandsworth,2010-04-01,april,2010,spring,pre-pandemic,0
islington,2010-04-01,april,2010,spring,pre-pandemic,1
havering,2010-04-01,april,2010,spring,pre-pandemic,1
lambeth,2010-04-01,april,2010,spring,pre-pandemic,1
waltham forest,2010-04-01,april,2010,spring,pre-pandemic,0
kingston upon thames,2010-04-01,april,2010,spring,pre-pandemic,0
haringey,2010-04-01,april,2010,spring,pre-pandemic,0
islington,2010-04-01,april,2010,spring,pre-pandemic,0
hackney,2010-04-01,april,2010,spring,pre-pandemic,0
hackney,2010-04-01,april,2010,spring,pre-pandemic,0
newham,2010-04-01,april,2010,spring,pre-pandemic,0
newham,2010-04-01,april,2010,spring,pre-pandemic,0
newham,2010-04-01,april,2010,spring,pre-pandemic,0
southwark,2010-04-01,april,2010,spring,pre-pandemic,0
lambeth,2010-04-01,april,2010,spring,pre-pandemic,0
camden,2010-04-01,april,2010,spring,pre-pandemic,1
lewisham,2010-04-01,april,2010,spring,pre-pandemic,0
redbridge,2010-04-01,april,2010,spring,pre-pandemic,0
newham,2010-04-01,april,2010,spring,pre-pandemic,0
lambeth,2010-04-01,april,2010,spring,pre-pandemic,0
harrow,2010-04-01,april,2010,spring,pre-pandemic,1
waltham forest,2010-04-01,april,2010,spring,pre-pandemic,0
havering,2010-04-01,april,2010,spring,pre-pandemic,0
havering,2010-04-01,april,2010,spring,pre-pandemic,0
bromley,2010-04-01,april,2010,spring,pre-pandemic,0
barking and dagenham,2010-04-01,april,2010,spring,pre-pandemic,0
havering,2010-04-01,april,2010,spring,pre-pandemic,0
hackney,2010-04-01,april,2010,spring,pre-pandemic,0
waltham forest,2010-04-01,april,2010,spring,pre-pandemic,0
camden,2010-04-01,april,2010,spring,pre-pandemic,0
ealing,2010-04-01,april,2010,spring,pre-pandemic,0
croydon,2010-04-01,april,2010,spring,pre-pandemic,0
bromley,2010-04-01,april,2010,spring,pre-pandemic,0
croydon,2010-04-01,april,2010,spring,pre-pandemic,0
hillingdon,2010-04-01,april,2010,spring,pre-pandemic,0
lewisham,2010-04-01,april,2010,spring,pre-pandemic,0
ealing,2010-04-01,april,2010,spring,pre-pandemic,0
islington,2010-04-01,april,2010,spring,pre-pandemic,0
lewisham,2010-04-01,april,2010,spring,pre-pandemic,0
sutton,2010-04-01,april,2010,spring,pre-pandemic,0
hounslow,2010-04-01,april,2010,spring,pre-pandemic,1
croydon,2010-04-01,april,2010,spring,pre-pandemic,0
croydon,2010-04-01,april,2010,spring,pre-pandemic,0
croydon,2010-04-01,april,2010,spring,pre-pandemic,0
hounslow,2010-04-01,april,2010,spring,pre-pandemic,0
lambeth,2010-04-01,april,2010,spring,pre-pandemic,1
haringey,2010-05-01,may,2010,spring,pre-pandemic,0
westminster,2010-05-01,may,2010,spring,pre-pandemic,0
waltham forest,2010-05-01,may,2010,spring,pre-pandemic,0
newham,2010-05-01,may,2010,spring,pre-pandemic,0
ealing,2010-05-01,may,2010,spring,pre-pandemic,0
waltham forest,2010-05-01,may,2010,spring,pre-pandemic,0
camden,2010-05-01,may,2010,spring,pre-pandemic,0
hackney,2010-05-01,may,2010,spring,pre-pandemic,0
newham,2010-05-01,may,2010,spring,pre-pandemic,0
newham,2010-05-01,may,2010,spring,pre-pandemic,0
haringey,2010-05-01,may,2010,spring,pre-pandemic,0
redbridge,2010-05-01,may,2010,spring,pre-pandemic,1
camden,2010-05-01,may,2010,spring,pre-pandemic,0
croydon,2010-05-01,may,2010,spring,pre-pandemic,1
bexley,2010-05-01,may,2010,spring,pre-pandemic,0
barking and dagenham,2010-05-01,may,2010,spring,pre-pandemic,0
barking and dagenham,2010-05-01,may,2010,spring,pre-pandemic,0
barking and dagenham,2010-05-01,may,2010,spring,pre-pandemic,0
brent,2010-05-01,may,2010,spring,pre-pandemic,0
croydon,2010-05-01,may,2010,spring,pre-pandemic,0
camden,2010-05-01,may,2010,spring,pre-pandemic,0
greenwich,2010-05-01,may,2010,spring,pre-pandemic,0
enfield,2010-05-01,may,2010,spring,pre-pandemic,0
islington,2010-05-01,may,2010,spring,pre-pandemic,0
enfield,2010-05-01,may,2010,spring,pre-pandemic,0
croydon,2010-05-01,may,2010,spring,pre-pandemic,0
redbridge,2010-05-01,may,2010,spring,pre-pandemic,0
camden,2010-05-01,may,2010,spring,pre-pandemic,0
barnet,2010-05-01,may,2010,spring,pre-pandemic,0
lambeth,2010-05-01,may,2010,spring,pre-pandemic,0
lambeth,2010-05-01,may,2010,spring,pre-pandemic,0
greenwich,2010-05-01,may,2010,spring,pre-pandemic,0
ealing,2010-05-01,may,2010,spring,pre-pandemic,0
wandsworth,2010-05-01,may,2010,spring,pre-pandemic,0
harrow,2010-05-01,may,2010,spring,pre-pandemic,1
haringey,2010-05-01,may,2010,spring,pre-pandemic,0
hackney,2010-05-01,may,2010,spring,pre-pandemic,0
newham,2010-05-01,may,2010,spring,pre-pandemic,0
barking and dagenham,2010-05-01,may,2010,spring,pre-pandemic,0
newham,2010-06-01,june,2010,summer,pre-pandemic,0
islington,2010-06-01,june,2010,summer,pre-pandemic,0
bexley,2010-06-01,june,2010,summer,pre-pandemic,0
newham,2010-06-01,june,2010,summer,pre-pandemic,0
lewisham,2010-06-01,june,2010,summer,pre-pandemic,0
bromley,2010-06-01,june,2010,summer,pre-pandemic,0
bromley,2010-06-01,june,2010,summer,pre-pandemic,0
croydon,2010-06-01,june,2010,summer,pre-pandemic,0
hackney,2010-06-01,june,2010,summer,pre-pandemic,0
southwark,2010-06-01,june,2010,summer,pre-pandemic,0
sutton,2010-06-01,june,2010,summer,pre-pandemic,0
harrow,2010-06-01,june,2010,summer,pre-pandemic,0
haringey,2010-06-01,june,2010,summer,pre-pandemic,1
lewisham,2010-06-01,june,2010,summer,pre-pandemic,0
newham,2010-06-01,june,2010,summer,pre-pandemic,0
harrow,2010-06-01,june,2010,summer,pre-pandemic,0
lambeth,2010-06-01,june,2010,summer,pre-pandemic,0
lewisham,2010-06-01,june,2010,summer,pre-pandemic,0
hackney,2010-06-01,june,2010,summer,pre-pandemic,0
ealing,2010-06-01,june,2010,summer,pre-pandemic,0
croydon,2010-06-01,june,2010,summer,pre-pandemic,0
hounslow,2010-06-01,june,2010,summer,pre-pandemic,0
harrow,2010-06-01,june,2010,summer,pre-pandemic,0
havering,2010-06-01,june,2010,summer,pre-pandemic,0
westminster,2010-06-01,june,2010,summer,pre-pandemic,0
barking and dagenham,2010-06-01,june,2010,summer,pre-pandemic,0
haringey,2010-06-01,june,2010,summer,pre-pandemic,0
lewisham,2010-06-01,june,2010,summer,pre-pandemic,0
waltham forest,2010-06-01,june,2010,summer,pre-pandemic,0
hackney,2010-07-01,july,2010,summer,pre-pandemic,0
hammersmith and fulham,2010-07-01,july,2010,summer,pre-pandemic,0
ealing,2010-07-01,july,2010,summer,pre-pandemic,0
richmond upon thames,2010-07-01,july,2010,summer,pre-pandemic,0
havering,2010-07-01,july,2010,summer,pre-pandemic,0
ealing,2010-07-01,july,2010,summer,pre-pandemic,0
southwark,2010-07-01,july,2010,summer,pre-pandemic,0
southwark,2010-07-01,july,2010,summer,pre-pandemic,0
lewisham,2010-07-01,july,2010,summer,pre-pandemic,0
brent,2010-07-01,july,2010,summer,pre-pandemic,0
lambeth,2010-07-01,july,2010,summer,pre-pandemic,0
waltham forest,2010-07-01,july,2010,summer,pre-pandemic,0
enfield,2010-07-01,july,2010,summer,pre-pandemic,0
barnet,2010-07-01,july,2010,summer,pre-pandemic,0
barnet,2010-07-01,july,2010,summer,pre-pandemic,0
barking and dagenham,2010-07-01,july,2010,summer,pre-pandemic,0
barking and dagenham,2010-07-01,july,2010,summer,pre-pandemic,0
lambeth,2010-07-01,july,2010,summer,pre-pandemic,0
redbridge,2010-07-01,july,2010,summer,pre-pandemic,0
bromley,2010-07-01,july,2010,summer,pre-pandemic,0
brent,2010-07-01,july,2010,summer,pre-pandemic,0
barnet,2010-07-01,july,2010,summer,pre-pandemic,0
barking and dagenham,2010-07-01,july,2010,summer,pre-pandemic,0
ealing,2010-07-01,july,2010,summer,pre-pandemic,0
croydon,2010-07-01,july,2010,summer,pre-pandemic,0
lambeth,2010-07-01,july,2010,summer,pre-pandemic,0
newham,2010-07-01,july,2010,summer,pre-pandemic,0
newham,2010-07-01,july,2010,summer,pre-pandemic,0
barnet,2010-08-01,august,2010,summer,pre-pandemic,0
brent,2010-08-01,august,2010,summer,pre-pandemic,0
havering,2010-08-01,august,2010,summer,pre-pandemic,0
sutton,2010-08-01,august,2010,summer,pre-pandemic,0
hackney,2010-08-01,august,2010,summer,pre-pandemic,0
haringey,2010-08-01,august,2010,summer,pre-pandemic,0
lewisham,2010-08-01,august,2010,summer,pre-pandemic,0
waltham forest,2010-08-01,august,2010,summer,pre-pandemic,1
havering,2010-08-01,august,2010,summer,pre-pandemic,1
camden,2010-08-01,august,2010,summer,pre-pandemic,0
lewisham,2010-08-01,august,2010,summer,pre-pandemic,0
westminster,2010-08-01,august,2010,summer,pre-pandemic,0
ealing,2010-08-01,august,2010,summer,pre-pandemic,0
newham,2010-08-01,august,2010,summer,pre-pandemic,1
lewisham,2010-08-01,august,2010,summer,pre-pandemic,0
newham,2010-08-01,august,2010,summer,pre-pandemic,0
hackney,2010-08-01,august,2010,summer,pre-pandemic,0
southwark,2010-08-01,august,2010,summer,pre-pandemic,1
lewisham,2010-08-01,august,2010,summer,pre-pandemic,0
bromley,2010-08-01,august,2010,summer,pre-pandemic,0
westminster,2010-08-01,august,2010,summer,pre-pandemic,0
lambeth,2010-08-01,august,2010,summer,pre-pandemic,0
harrow,2010-08-01,august,2010,summer,pre-pandemic,0
southwark,2010-08-01,august,2010,summer,pre-pandemic,0
tower hamlets,2010-08-01,august,2010,summer,pre-pandemic,0
barnet,2010-08-01,august,2010,summer,pre-pandemic,0
croydon,2010-08-01,august,2010,summer,pre-pandemic,0
waltham forest,2010-08-01,august,2010,summer,pre-pandemic,0
enfield,2010-08-01,august,2010,summer,pre-pandemic,0
richmond upon thames,2010-08-01,august,2010,summer,pre-pandemic,0
barking and dagenham,2010-08-01,august,2010,summer,pre-pandemic,0
enfield,2010-08-01,august,2010,summer,pre-pandemic,0
brent,2010-09-01,september,2010,autumn,pre-pandemic,0
lambeth,2010-09-01,september,2010,autumn,pre-pandemic,0
southwark,2010-09-01,september,2010,autumn,pre-pandemic,0
waltham forest,2010-09-01,september,2010,autumn,pre-pandemic,0
enfield,2010-09-01,september,2010,autumn,pre-pandemic,0
kingston upon thames,2010-09-01,september,2010,autumn,pre-pandemic,0
lambeth,2010-09-01,september,2010,autumn,pre-pandemic,1
enfield,2010-09-01,september,2010,autumn,pre-pandemic,0
greenwich,2010-09-01,september,2010,autumn,pre-pandemic,0
waltham forest,2010-09-01,september,2010,autumn,pre-pandemic,0
islington,2010-09-01,september,2010,autumn,pre-pandemic,0
bexley,2010-09-01,september,2010,autumn,pre-pandemic,0
enfield,2010-09-01,september,2010,autumn,pre-pandemic,0
enfield,2010-09-01,september,2010,autumn,pre-pandemic,0
ealing,2010-09-01,september,2010,autumn,pre-pandemic,0
lambeth,2010-09-01,september,2010,autumn,pre-pandemic,0
islington,2010-09-01,september,2010,autumn,pre-pandemic,1
barking and dagenham,2010-09-01,september,2010,autumn,pre-pandemic,0
enfield,2010-09-01,september,2010,autumn,pre-pandemic,0
southwark,2010-09-01,september,2010,autumn,pre-pandemic,0
harrow,2010-09-01,september,2010,autumn,pre-pandemic,1
harrow,2010-09-01,september,2010,autumn,pre-pandemic,1
haringey,2010-09-01,september,2010,autumn,pre-pandemic,1
barking and dagenham,2010-09-01,september,2010,autumn,pre-pandemic,1
barking and dagenham,2010-09-01,september,2010,autumn,pre-pandemic,0
westminster,2010-09-01,september,2010,autumn,pre-pandemic,0
greenwich,2010-09-01,september,2010,autumn,pre-pandemic,0
hackney,2010-09-01,september,2010,autumn,pre-pandemic,0
hillingdon,2010-09-01,september,2010,autumn,pre-pandemic,0
tower hamlets,2010-09-01,september,2010,autumn,pre-pandemic,0
enfield,2010-09-01,september,2010,autumn,pre-pandemic,0
barnet,2010-09-01,september,2010,autumn,pre-pandemic,0
haringey,2010-09-01,september,2010,autumn,pre-pandemic,1
haringey,2010-09-01,september,2010,autumn,pre-pandemic,0
greenwich,2010-09-01,september,2010,autumn,pre-pandemic,0
hounslow,2010-09-01,september,2010,autumn,pre-pandemic,0
harrow,2010-09-01,september,2010,autumn,pre-pandemic,0
hackney,2010-09-01,september,2010,autumn,pre-pandemic,0
ealing,2010-09-01,september,2010,autumn,pre-pandemic,0
lewisham,2010-09-01,september,2010,autumn,pre-pandemic,0
croydon,2010-09-01,september,2010,autumn,pre-pandemic,0
enfield,2010-10-01,october,2010,autumn,pre-pandemic,0
redbridge,2010-10-01,october,2010,autumn,pre-pandemic,0
southwark,2010-10-01,october,2010,autumn,pre-pandemic,0
lewisham,2010-10-01,october,2010,autumn,pre-pandemic,1
bexley,2010-10-01,october,2010,autumn,pre-pandemic,0
enfield,2010-10-01,october,2010,autumn,pre-pandemic,0
enfield,2010-10-01,october,2010,autumn,pre-pandemic,0
lewisham,2010-10-01,october,2010,autumn,pre-pandemic,0
lewisham,2010-10-01,october,2010,autumn,pre-pandemic,1
croydon,2010-10-01,october,2010,autumn,pre-pandemic,1
havering,2010-10-01,october,2010,autumn,pre-pandemic,1
havering,2010-10-01,october,2010,autumn,pre-pandemic,1
southwark,2010-10-01,october,2010,autumn,pre-pandemic,0
tower hamlets,2010-10-01,october,2010,autumn,pre-pandemic,0
southwark,2010-10-01,october,2010,autumn,pre-pandemic,0
newham,2010-10-01,october,2010,autumn,pre-pandemic,0
greenwich,2010-10-01,october,2010,autumn,pre-pandemic,0
greenwich,2010-10-01,october,2010,autumn,pre-pandemic,0
barking and dagenham,2010-10-01,october,2010,autumn,pre-pandemic,0
enfield,2010-10-01,october,2010,autumn,pre-pandemic,0
haringey,2010-10-01,october,2010,autumn,pre-pandemic,0
lambeth,2010-10-01,october,2010,autumn,pre-pandemic,0
southwark,2010-11-01,november,2010,autumn,pre-pandemic,0
islington,2010-11-01,november,2010,autumn,pre-pandemic,1
bromley,2010-11-01,november,2010,autumn,pre-pandemic,0
bromley,2010-11-01,november,2010,autumn,pre-pandemic,0
barnet,2010-11-01,november,2010,autumn,pre-pandemic,0
croydon,2010-11-01,november,2010,autumn,pre-pandemic,1
bexley,2010-11-01,november,2010,autumn,pre-pandemic,0
barking and dagenham,2010-11-01,november,2010,autumn,pre-pandemic,0
bromley,2010-11-01,november,2010,autumn,pre-pandemic,0
lambeth,2010-11-01,november,2010,autumn,pre-pandemic,0
islington,2010-11-01,november,2010,autumn,pre-pandemic,0
southwark,2010-11-01,november,2010,autumn,pre-pandemic,0
tower hamlets,2010-11-01,november,2010,autumn,pre-pandemic,0
lewisham,2010-11-01,november,2010,autumn,pre-pandemic,1
kingston upon thames,2010-11-01,november,2010,autumn,pre-pandemic,0
kingston upon thames,2010-11-01,november,2010,autumn,pre-pandemic,0
waltham forest,2010-11-01,november,2010,autumn,pre-pandemic,0
hillingdon,2010-11-01,november,2010,autumn,pre-pandemic,0
barnet,2010-11-01,november,2010,autumn,pre-pandemic,0
islington,2010-11-01,november,2010,autumn,pre-pandemic,0
enfield,2010-11-01,november,2010,autumn,pre-pandemic,0
greenwich,2010-11-01,november,2010,autumn,pre-pandemic,0
greenwich,2010-12-01,december,2010,winter,pre-pandemic,0
waltham forest,2010-12-01,december,2010,winter,pre-pandemic,0
brent,2010-12-01,december,2010,winter,pre-pandemic,0
southwark,2010-12-01,december,2010,winter,pre-pandemic,0
lewisham,2010-12-01,december,2010,winter,pre-pandemic,0
croydon,2010-12-01,december,2010,winter,pre-pandemic,0
hillingdon,2010-12-01,december,2010,winter,pre-pandemic,0
lewisham,2010-12-01,december,2010,winter,pre-pandemic,0
waltham forest,2010-12-01,december,2010,winter,pre-pandemic,0
sutton,2010-12-01,december,2010,winter,pre-pandemic,0
ealing,2010-12-01,december,2010,winter,pre-pandemic,0
croydon,2010-12-01,december,2010,winter,pre-pandemic,1
hammersmith and fulham,2010-12-01,december,2010,winter,pre-pandemic,0
croydon,2010-12-01,december,2010,winter,pre-pandemic,0
hackney,2010-12-01,december,2010,winter,pre-pandemic,0
westminster,2010-12-01,december,2010,winter,pre-pandemic,0
barking and dagenham,2010-12-01,december,2010,winter,pre-pandemic,0
greenwich,2010-12-01,december,2010,winter,pre-pandemic,0
islington,2010-12-01,december,2010,winter,pre-pandemic,0
waltham forest,2010-12-01,december,2010,winter,pre-pandemic,0
camden,2011-01-01,january,2011,winter,pre-pandemic,0
wandsworth,2011-01-01,january,2011,winter,pre-pandemic,1
lewisham,2011-01-01,january,2011,winter,pre-pandemic,0
croydon,2011-01-01,january,2011,winter,pre-pandemic,0
newham,2011-01-01,january,2011,winter,pre-pandemic,0
lewisham,2011-01-01,january,2011,winter,pre-pandemic,0
sutton,2011-01-01,january,2011,winter,pre-pandemic,0
bromley,2011-01-01,january,2011,winter,pre-pandemic,0
camden,2011-01-01,january,2011,winter,pre-pandemic,0
waltham forest,2011-01-01,january,2011,winter,pre-pandemic,0
barking and dagenham,2011-01-01,january,2011,winter,pre-pandemic,0
wandsworth,2011-01-01,january,2011,winter,pre-pandemic,0
croydon,2011-01-01,january,2011,winter,pre-pandemic,0
croydon,2011-01-01,january,2011,winter,pre-pandemic,0
westminster,2011-01-01,january,2011,winter,pre-pandemic,0
southwark,2011-01-01,january,2011,winter,pre-pandemic,0
southwark,2011-01-01,january,2011,winter,pre-pandemic,0
lambeth,2011-01-01,january,2011,winter,pre-pandemic,0
waltham forest,2011-02-01,february,2011,winter,pre-pandemic,0
hackney,2011-02-01,february,2011,winter,pre-pandemic,0
bromley,2011-02-01,february,2011,winter,pre-pandemic,0
barnet,2011-02-01,february,2011,winter,pre-pandemic,0
hammersmith and fulham,2011-02-01,february,2011,winter,pre-pandemic,0
ealing,2011-02-01,february,2011,winter,pre-pandemic,0
greenwich,2011-02-01,february,2011,winter,pre-pandemic,0
bexley,2011-02-01,february,2011,winter,pre-pandemic,1
greenwich,2011-02-01,february,2011,winter,pre-pandemic,0
greenwich,2011-02-01,february,2011,winter,pre-pandemic,0
croydon,2011-02-01,february,2011,winter,pre-pandemic,0
croydon,2011-02-01,february,2011,winter,pre-pandemic,0
tower hamlets,2011-03-01,march,2011,spring,pre-pandemic,0
haringey,2011-03-01,march,2011,spring,pre-pandemic,0
lambeth,2011-03-01,march,2011,spring,pre-pandemic,0
ealing,2011-03-01,march,2011,spring,pre-pandemic,0
haringey,2011-03-01,march,2011,spring,pre-pandemic,1
hounslow,2011-03-01,march,2011,spring,pre-pandemic,0
hillingdon,2011-03-01,march,2011,spring,pre-pandemic,0
greenwich,2011-03-01,march,2011,spring,pre-pandemic,0
lambeth,2011-03-01,march,2011,spring,pre-pandemic,0
tower hamlets,2011-03-01,march,2011,spring,pre-pandemic,0
haringey,2011-03-01,march,2011,spring,pre-pandemic,0
greenwich,2011-03-01,march,2011,spring,pre-pandemic,0
croydon,2011-03-01,march,2011,spring,pre-pandemic,0
bromley,2011-03-01,march,2011,spring,pre-pandemic,0
islington,2011-03-01,march,2011,spring,pre-pandemic,0
greenwich,2011-03-01,march,2011,spring,pre-pandemic,1
newham,2011-03-01,march,2011,spring,pre-pandemic,0
haringey,2011-04-01,april,2011,spring,pre-pandemic,1
enfield,2011-04-01,april,2011,spring,pre-pandemic,0
kingston upon thames,2011-04-01,april,2011,spring,pre-pandemic,1
hillingdon,2011-04-01,april,2011,spring,pre-pandemic,0
enfield,2011-04-01,april,2011,spring,pre-pandemic,0
newham,2011-04-01,april,2011,spring,pre-pandemic,0
newham,2011-04-01,april,2011,spring,pre-pandemic,0
bromley,2011-04-01,april,2011,spring,pre-pandemic,0
hounslow,2011-04-01,april,2011,spring,pre-pandemic,0
croydon,2011-04-01,april,2011,spring,pre-pandemic,0
islington,2011-04-01,april,2011,spring,pre-pandemic,0
hillingdon,2011-04-01,april,2011,spring,pre-pandemic,1
hounslow,2011-04-01,april,2011,spring,pre-pandemic,0
croydon,2011-04-01,april,2011,spring,pre-pandemic,0
hillingdon,2011-04-01,april,2011,spring,pre-pandemic,0
brent,2011-04-01,april,2011,spring,pre-pandemic,0
wandsworth,2011-04-01,april,2011,spring,pre-pandemic,0
lambeth,2011-04-01,april,2011,spring,pre-pandemic,0
islington,2011-05-01,may,2011,spring,pre-pandemic,1
southwark,2011-05-01,may,2011,spring,pre-pandemic,0
newham,2011-05-01,may,2011,spring,pre-pandemic,1
newham,2011-05-01,may,2011,spring,pre-pandemic,0
islington,2011-05-01,may,2011,spring,pre-pandemic,1
bromley,2011-05-01,may,2011,spring,pre-pandemic,0
newham,2011-05-01,may,2011,spring,pre-pandemic,0
ealing,2011-05-01,may,2011,spring,pre-pandemic,0
ealing,2011-05-01,may,2011,spring,pre-pandemic,0
ealing,2011-05-01,may,2011,spring,pre-pandemic,0
ealing,2011-05-01,may,2011,spring,pre-pandemic,0
ealing,2011-05-01,may,2011,spring,pre-pandemic,0
ealing,2011-05-01,may,2011,spring,pre-pandemic,0
westminster,2011-05-01,may,2011,spring,pre-pandemic,0
hounslow,2011-05-01,may,2011,spring,pre-pandemic,0
newham,2011-05-01,may,2011,spring,pre-pandemic,0
enfield,2011-05-01,may,2011,spring,pre-pandemic,1
newham,2011-05-01,may,2011,spring,pre-pandemic,0
westminster,2011-05-01,may,2011,spring,pre-pandemic,0
redbridge,2011-05-01,may,2011,spring,pre-pandemic,0
brent,2011-05-01,may,2011,spring,pre-pandemic,0
bromley,2011-05-01,may,2011,spring,pre-pandemic,1
lambeth,2011-05-01,may,2011,spring,pre-pandemic,0
sutton,2011-05-01,may,2011,spring,pre-pandemic,0
tower hamlets,2011-05-01,may,2011,spring,pre-pandemic,0
lambeth,2011-05-01,may,2011,spring,pre-pandemic,0
harrow,2011-05-01,may,2011,spring,pre-pandemic,1
harrow,2011-05-01,may,2011,spring,pre-pandemic,0
bromley,2011-05-01,may,2011,spring,pre-pandemic,0
wandsworth,2011-05-01,may,2011,spring,pre-pandemic,1
ealing,2011-05-01,may,2011,spring,pre-pandemic,1
sutton,2011-05-01,may,2011,spring,pre-pandemic,0
sutton,2011-05-01,may,2011,spring,pre-pandemic,0
waltham forest,2011-05-01,may,2011,spring,pre-pandemic,1
brent,2011-05-01,may,2011,spring,pre-pandemic,0
redbridge,2011-05-01,may,2011,spring,pre-pandemic,0
lambeth,2011-05-01,may,2011,spring,pre-pandemic,0
bexley,2011-05-01,may,2011,spring,pre-pandemic,0
bromley,2011-06-01,june,2011,summer,pre-pandemic,1
greenwich,2011-06-01,june,2011,summer,pre-pandemic,0
southwark,2011-06-01,june,2011,summer,pre-pandemic,0
bromley,2011-06-01,june,2011,summer,pre-pandemic,0
newham,2011-06-01,june,2011,summer,pre-pandemic,0
hammersmith and fulham,2011-06-01,june,2011,summer,pre-pandemic,1
redbridge,2011-06-01,june,2011,summer,pre-pandemic,1
barking and dagenham,2011-06-01,june,2011,summer,pre-pandemic,1
greenwich,2011-06-01,june,2011,summer,pre-pandemic,1
westminster,2011-06-01,june,2011,summer,pre-pandemic,0
